TransactionDate,Category,DailySalesAmount
2024-09-26,TVs,260366.38
2024-04-12,Smartphones,245169.93
2024-08-30,TVs,326667.3
2023-07-25,Accessories,270670.01
2021-11-29,Tablets,235063.15000000002
2021-05-19,Smartphones,353125.98000000004
2021-11-20,Accessories,190678.91000000003
2023-02-05,Laptops,120914.53000000001
2023-03-30,Tablets,222745.21
2023-08-30,Tablets,292936.43
2024-01-12,Accessories,173947.08
2022-10-22,Laptops,252253.66999999998
2022-06-27,Smartphones,282286.69999999995
2021-05-03,TVs,305285.17999999993
2021-08-20,Laptops,246238.47000000003
2020-07-08,TVs,217774.24000000002
2023-05-17,Accessories,269812.42999999993
2021-08-11,Tablets,280472.94
2024-09-09,Tablets,234449.06999999998
2024-12-30,Laptops,293493.17999999993
2022-07-05,Laptops,200892.52
2022-06-14,Smartphones,275328.31
2023-10-12,Smartphones,195804.93
2022-09-26,Tablets,170981.71000000002
2021-01-02,Laptops,255166.06
2023-12-07,Laptops,236865.94
2021-09-12,Tablets,270917.86
2022-08-05,Laptops,250163.69999999998
2021-10-19,Laptops,229852.97
2020-10-26,TVs,264638.01
2021-05-31,Smartphones,277097.03
2022-01-22,TVs,371454.75999999995
2024-10-02,TVs,269950.11
2022-01-09,Tablets,248556.11999999997
2021-11-27,TVs,316176.37
2022-11-19,Accessories,376196.01
2023-05-29,TVs,202215.06000000006
2022-09-08,Accessories,229440.79000000004
2021-05-09,Accessories,257904.88999999998
2022-02-21,Accessories,232113.14
2021-02-12,Smartphones,301808.91
2022-10-05,Smartphones,270293.81
2023-07-29,Accessories,289365.69
2024-12-12,Laptops,323968.03
2021-10-25,Laptops,328491.49
2024-05-08,Tablets,272624.96
2025-06-19,Tablets,288502.20999999996
2025-02-02,Smartphones,274394.52
2021-02-26,Smartphones,376032.71
2025-01-14,Laptops,258534.3
2021-11-06,Accessories,202618.47000000003
2025-03-09,Smartphones,229972.83000000002
2021-03-12,Accessories,274961.2
2025-06-14,Laptops,415829.02999999997
2025-03-26,Tablets,290838.41000000003
2021-01-26,TVs,243197.91999999998
2022-03-14,Laptops,151620.45999999996
2023-01-25,Laptops,238021.58999999997
2021-05-09,TVs,282708.74
2025-01-16,TVs,140930.93000000002
2025-03-25,Accessories,205324.58000000002
2022-09-30,Tablets,213611.43
2022-04-17,TVs,307916.21
2024-07-06,Tablets,244557.41999999998
2021-02-10,Laptops,204188.94999999998
2022-07-31,Accessories,279108.37999999995
2023-12-07,Smartphones,176851.94
2024-07-23,Smartphones,205067.65999999997
2022-04-21,Tablets,268990.09
2021-02-15,TVs,270066.15
2022-04-08,Smartphones,318038.93
2021-05-24,Tablets,279715.88
2023-12-09,Smartphones,285226.1700000001
2024-05-29,Tablets,245206.0
2023-05-17,Tablets,210677.65000000002
2023-06-17,TVs,225773.14
2025-02-14,TVs,274510.41000000003
2021-09-14,Accessories,388945.92000000004
2023-10-01,Tablets,305836.2800000001
2022-04-10,TVs,227187.77
2023-05-17,TVs,233697.97000000003
2020-11-02,Accessories,236117.16
2024-06-01,TVs,180809.47
2022-05-29,Smartphones,215951.21
2021-12-20,Laptops,274954.54000000004
2021-10-12,Smartphones,181204.31000000003
2025-02-17,Laptops,205608.78999999998
2024-02-07,Smartphones,275473.01
2021-11-09,Smartphones,250428.59000000003
2023-07-15,Accessories,227578.9
2023-05-18,Laptops,282245.27
2022-03-17,Tablets,312555.3
2022-03-22,Smartphones,255649.31
2022-11-14,Laptops,230067.18
2023-02-02,TVs,260849.63
2023-10-28,Laptops,235604.51000000004
2023-05-14,Accessories,273637.71
2024-02-01,Accessories,243345.14
2024-01-26,TVs,244351.01
2021-04-27,Smartphones,320110.57
2025-03-31,Accessories,188900.84999999998
2020-11-04,Tablets,226459.25
2020-07-20,Smartphones,321938.6600000001
2021-09-13,Tablets,266132.09
2025-05-24,Smartphones,241531.69000000003
2021-07-19,Laptops,243027.03999999995
2024-06-17,TVs,233546.13
2024-12-21,TVs,187986.8
2024-03-13,TVs,152834.22
2024-04-11,Laptops,279149.77
2025-03-26,Smartphones,243844.44
2023-09-30,Accessories,314009.95999999996
2023-12-23,Tablets,275269.72
2021-07-25,Tablets,188488.47
2020-12-10,Laptops,276042.22
2025-05-04,Smartphones,258452.05
2023-04-17,Laptops,162561.36000000004
2025-02-18,Tablets,277332.38
2021-11-08,Smartphones,375650.63999999996
2024-05-02,Laptops,295823.23
2021-02-11,Accessories,360529.93999999994
2023-03-19,Tablets,184039.84000000003
2023-10-27,Laptops,246653.08
2024-02-15,TVs,301774.20999999996
2020-10-25,Accessories,251029.05000000005
2022-12-18,Accessories,169324.14
2021-11-09,TVs,249158.57999999996
2023-10-29,TVs,245766.50000000003
2020-11-18,TVs,183157.95
2023-02-06,Laptops,218223.07
2021-09-15,Laptops,282833.53
2021-07-06,Laptops,209680.47000000003
2020-08-12,Tablets,262720.46
2024-12-03,Accessories,211198.49000000002
2024-11-23,Smartphones,290518.38
2024-11-14,TVs,248943.15000000002
2023-01-28,Laptops,241338.94
2023-11-28,Smartphones,229785.44
2023-08-16,TVs,248527.21000000002
2023-03-24,TVs,246666.97000000003
2024-03-10,Tablets,272043.68
2023-05-20,Tablets,336625.15
2021-01-05,Laptops,292268.82999999996
2023-11-09,Laptops,273832.36000000004
2021-07-09,Smartphones,292013.53
2023-05-13,Smartphones,228366.21999999997
2021-03-05,Accessories,273843.46
2021-10-04,TVs,253212.40000000002
2024-02-21,TVs,194824.48
2025-05-30,Smartphones,223505.84000000003
2023-10-13,Laptops,327289.85
2021-10-13,Smartphones,199048.49000000002
2024-01-26,Laptops,312938.56
2021-03-09,Accessories,221457.82000000004
2024-05-05,Smartphones,257684.59999999998
2024-02-25,TVs,249599.93000000002
2023-06-24,Smartphones,216841.22000000003
2021-01-27,Accessories,265667.45
2022-01-11,Laptops,284755.15
2025-03-29,TVs,302200.81
2024-07-31,Laptops,219242.50999999998
2023-09-03,Laptops,268245.28
2024-07-26,Tablets,344729.52
2020-07-12,Laptops,328507.85
2023-06-01,Tablets,213694.45999999996
2023-02-01,Smartphones,368132.27
2023-06-27,Accessories,209894.24
2021-02-21,Tablets,283358.18
2024-07-19,Laptops,180717.57
2020-09-11,Accessories,220396.12999999998
2024-01-08,TVs,164420.27
2025-05-30,Tablets,259908.74000000002
2023-06-27,Laptops,316288.53
2023-05-15,Tablets,264170.71
2020-12-08,Laptops,217211.87
2021-09-28,Laptops,243286.83
2020-10-20,TVs,188619.28000000003
2021-11-30,Tablets,230841.92
2023-10-17,Smartphones,248830.3
2024-02-13,Laptops,263388.93999999994
2023-08-26,Smartphones,219734.19000000003
2024-03-29,Tablets,236651.68
2023-02-04,Tablets,199385.96
2023-09-26,Laptops,282540.26999999996
2023-02-19,Accessories,284259.25
2024-09-28,Tablets,231848.47999999998
2025-03-24,Tablets,295027.48000000004
2020-11-25,Laptops,379099.26
2021-09-25,Accessories,389069.77
2024-07-16,Tablets,236517.08
2023-03-05,TVs,172090.45
2023-07-05,Laptops,306897.39
2023-03-10,Smartphones,240773.09
2021-10-28,Smartphones,305402.0
2025-03-27,Smartphones,265197.25
2024-07-29,Tablets,207652.75
2020-06-25,Accessories,333582.99
2021-04-23,Smartphones,184248.68
2023-01-02,TVs,263541.15
2021-01-20,Smartphones,349936.36
2023-09-21,Accessories,214312.56
2024-01-22,Smartphones,314764.20000000007
2022-11-20,Laptops,233294.21000000002
2022-05-13,TVs,271161.87
2022-07-29,Laptops,187244.02000000005
2024-03-09,Laptops,204837.15999999997
2021-12-13,Smartphones,348103.76
2023-08-22,Tablets,290035.86
2024-06-19,Laptops,294529.1
2020-11-30,Laptops,295542.39999999997
2025-03-13,Accessories,305230.19
2025-04-22,Smartphones,244986.62
2023-12-28,Tablets,250812.67999999996
2025-04-17,Smartphones,248858.46000000002
2022-10-12,Laptops,305667.12000000005
2022-05-30,Accessories,282547.26999999996
2024-10-09,Smartphones,318506.97
2022-07-15,TVs,272887.80000000005
2024-02-01,Tablets,209187.41999999998
2024-10-30,Tablets,255282.69
2022-09-29,Accessories,177770.13
2020-11-07,Tablets,229840.01
2024-12-05,Smartphones,237834.5
2021-10-20,Accessories,216482.16999999998
2020-09-30,Accessories,246671.05000000002
2025-02-04,Laptops,224182.68999999997
2022-05-28,Tablets,294519.4
2022-09-15,Smartphones,175448.75
2023-03-18,TVs,254396.46
2024-01-19,Smartphones,213842.69
2022-10-24,Smartphones,271088.87
2020-10-31,Accessories,322144.25
2023-08-30,Accessories,298579.24
2023-01-09,TVs,203580.66999999998
2022-09-01,Accessories,176148.9
2024-10-25,Laptops,302602.91
2024-11-21,Accessories,274487.18000000005
2020-07-04,Accessories,223738.81
2021-06-12,Smartphones,308118.23
2024-07-12,Smartphones,234920.36
2023-03-23,Laptops,201179.14
2021-10-29,Accessories,296292.67000000004
2021-01-28,Smartphones,179115.58
2021-11-25,TVs,329833.03
2020-11-16,Tablets,302632.75
2023-10-17,TVs,290434.14
2024-10-20,TVs,304720.20999999996
2024-04-12,Accessories,268600.88
2022-08-22,Laptops,120087.04999999999
2024-12-06,Smartphones,226188.34999999998
2022-01-16,Smartphones,301523.12
2024-02-03,Laptops,365579.25
2024-09-10,Accessories,170462.80000000002
2022-07-19,Accessories,243710.58
2025-04-13,Laptops,212689.13000000003
2021-08-23,Accessories,257197.86999999997
2023-08-17,Tablets,210597.10999999996
2022-08-27,TVs,231110.69
2022-02-26,Accessories,174013.27000000002
2023-08-17,TVs,262986.17000000004
2021-04-25,Laptops,284551.63
2023-08-11,Smartphones,290847.79000000004
2022-04-12,Laptops,178080.56
2022-06-04,Tablets,276410.74
2020-11-04,Laptops,228281.65
2024-02-28,Tablets,214801.42999999996
2024-06-19,Accessories,316735.76999999996
2025-02-24,Laptops,280015.36
2024-01-31,Laptops,282267.49
2022-02-18,TVs,266241.69
2024-08-02,TVs,233420.4
2024-08-10,TVs,251136.71000000002
2024-04-18,Smartphones,140158.37
2023-04-30,Accessories,206937.96
2021-09-08,Accessories,334587.23
2022-09-18,Tablets,226336.89
2022-03-31,Laptops,159350.81
2024-10-02,Accessories,288921.71
2023-09-16,Tablets,277944.08
2020-12-18,TVs,155720.65
2024-12-22,Smartphones,153671.34000000003
2024-08-18,Laptops,268490.72
2023-08-10,Tablets,291670.13000000006
2024-01-19,TVs,176815.80000000002
2020-07-25,TVs,209352.98
2020-12-25,Smartphones,245674.96999999997
2022-12-25,Smartphones,254752.29
2021-11-03,Accessories,287719.80999999994
2021-09-17,Laptops,242197.13999999996
2022-04-29,Accessories,252869.77
2021-01-29,Tablets,247863.72999999998
2022-07-31,Laptops,208186.55000000002
2023-03-02,Accessories,237785.22999999998
2024-08-18,Smartphones,214383.59
2023-05-25,Accessories,199268.13999999998
2023-11-29,Smartphones,313102.03
2021-12-03,Laptops,247487.27
2023-08-06,Tablets,206474.77
2023-03-31,TVs,230961.09999999998
2024-03-20,Laptops,174432.54
2021-10-05,Tablets,193800.13
2022-11-29,Laptops,206820.3
2025-04-25,Smartphones,201127.87
2024-01-08,Accessories,283673.11000000004
2025-03-23,Tablets,239471.94999999995
2025-06-08,Accessories,265293.14999999997
2022-05-05,Laptops,236214.03000000003
2024-08-13,Laptops,328591.53
2024-05-06,Tablets,275490.46
2022-01-29,Accessories,311810.89
2023-12-11,Accessories,262984.45999999996
2024-02-26,Smartphones,201951.11000000002
2023-06-02,Accessories,225852.4
2023-11-21,Accessories,243223.74
2022-03-03,Laptops,121938.54999999999
2024-11-17,TVs,285790.73
2023-08-07,Laptops,232099.65000000002
2022-04-15,Accessories,205013.30000000002
2020-11-20,Accessories,247788.32
2022-11-04,Tablets,298759.79
2023-02-06,Tablets,254695.1
2022-09-15,TVs,293689.95
2022-07-26,Tablets,184853.33999999997
2024-12-02,TVs,244600.90999999997
2024-02-01,Smartphones,271945.74
2024-11-10,Accessories,283090.26
2022-02-19,Accessories,227402.21999999997
2025-03-22,TVs,290601.85
2023-11-02,TVs,196923.46999999997
2023-08-12,Laptops,271468.5
2023-08-13,Accessories,294673.41
2020-08-21,TVs,223137.66999999998
2023-04-29,Laptops,258608.24
2024-12-06,TVs,226439.28
2020-11-18,Smartphones,309212.88
2022-11-09,Accessories,169158.92
2024-05-30,TVs,289043.81000000006
2024-12-25,Laptops,270645.21
2025-02-21,Accessories,258304.27999999997
2024-06-16,TVs,175223.68000000002
2022-04-16,Laptops,320756.20999999996
2023-11-30,Smartphones,275986.98
2021-12-22,Tablets,197797.28
2020-10-22,Accessories,299215.49999999994
2022-10-13,Tablets,409204.3600000001
2021-01-30,Smartphones,343538.73
2022-05-08,Tablets,163947.77999999997
2023-08-20,TVs,234597.51000000004
2024-11-19,Laptops,266421.81999999995
2023-02-26,Smartphones,208010.58000000002
2021-07-09,Laptops,295224.98
2020-10-06,Tablets,316253.19
2024-11-27,Laptops,239121.52999999997
2023-05-29,Accessories,308768.32999999996
2023-06-23,Laptops,194615.62999999998
2020-06-29,Accessories,146864.59
2024-12-24,Smartphones,286047.69
2022-06-28,Accessories,157763.14999999997
2022-01-20,TVs,233774.12
2021-08-16,Accessories,259931.21999999997
2024-11-13,Accessories,246738.47999999998
2024-08-27,Laptops,201213.40999999997
2021-05-30,Accessories,151640.51
2021-09-06,Tablets,191469.16999999998
2023-12-22,Smartphones,204542.41999999998
2021-06-17,Laptops,200846.21999999997
2023-05-20,Accessories,281842.86
2025-06-16,Smartphones,299472.04
2024-01-02,TVs,205023.37
2025-05-19,Laptops,217267.96
2023-03-20,Accessories,185035.53000000003
2023-10-14,Tablets,261887.45
2020-10-20,Tablets,304349.24
2022-01-15,Laptops,195712.43
2020-12-06,TVs,387719.74
2023-11-22,Accessories,283661.03
2025-05-11,Tablets,129623.16
2022-11-21,Accessories,228974.16000000003
2022-01-27,TVs,269094.76
2023-11-10,Tablets,240647.76
2023-05-15,Accessories,176987.46999999997
2022-12-07,Accessories,265863.72000000003
2022-06-27,Laptops,340144.37
2022-03-31,TVs,208710.78999999998
2021-04-20,TVs,237187.90000000002
2022-05-03,Tablets,313360.38
2022-11-08,Laptops,269771.81
2020-08-04,TVs,157349.0
2022-01-23,Tablets,245690.81999999998
2024-06-29,Accessories,345145.0
2022-10-26,Laptops,209407.25
2025-02-15,Smartphones,284123.81
2024-09-20,Tablets,260961.98
2023-08-05,Accessories,224981.53000000003
2024-10-06,Tablets,311411.35000000003
2022-06-23,Tablets,228535.28999999998
2024-11-02,Smartphones,203479.97
2022-10-11,Smartphones,277490.17
2023-01-11,Tablets,276212.25000000006
2022-10-23,Smartphones,233898.43
2025-04-17,TVs,309020.7700000001
2021-08-07,Smartphones,219822.65
2020-08-21,Laptops,307054.74
2025-01-14,Accessories,296731.61000000004
2022-08-03,Smartphones,231982.15000000002
2021-08-31,Smartphones,245075.40000000005
2021-03-08,Tablets,240407.26
2023-03-09,TVs,230365.56
2023-01-21,Accessories,264044.7
2022-08-19,Tablets,184117.79
2024-12-26,Accessories,239414.76
2021-03-25,Accessories,128244.58
2020-11-28,Accessories,201882.58000000002
2021-04-21,Laptops,280222.16
2021-06-16,Tablets,199238.52000000002
2024-08-29,Accessories,254496.55
2024-11-26,Tablets,326089.93
2025-03-17,Tablets,137267.44
2023-08-23,Accessories,234615.24
2021-02-24,Tablets,210318.42000000004
2022-02-07,TVs,261732.42000000004
2021-10-05,Smartphones,258687.44
2023-04-16,Tablets,230604.66999999998
2021-08-01,Smartphones,206771.68
2024-06-09,TVs,266187.72000000003
2021-08-26,Tablets,227913.89
2021-02-08,TVs,259455.58999999997
2022-07-03,Smartphones,224938.73
2021-07-21,Smartphones,268614.27999999997
2023-08-01,Accessories,263937.73
2020-11-03,Accessories,244572.2
2024-10-27,Accessories,190388.43
2022-10-13,Accessories,183658.2
2022-03-22,Tablets,244770.39
2024-03-20,TVs,260424.22999999998
2020-10-25,Laptops,142987.78999999998
2024-02-25,Laptops,307279.32
2020-07-02,TVs,249692.48000000004
2020-07-20,Laptops,304328.57999999996
2024-06-27,Smartphones,316018.14
